Gene Name,HNOX_1,HNOX_2,HNOX_3,WT_1,WT_2,WT_3
Pden_4130,0,0,0,0,0,0
Pden_4132,0,0,0,0,0,0
Pden_4133,0,0,0,0,0,0
Pden_4140,0,0,0,0,0,0
Pden_4169,0,0,0,0,0,0
Pden_4201,0,0,0,0,0,0
Pden_4203,0,0,0,0,0,0
Pden_4207,0,0,0,0,0,0
Pden_4209,0,0,0,0,0,0
Pden_4235,0,0,0,0,0,0
Pden_4236,0,0,0,0,0,0
Pden_4248,0,0,0,0,0,0
Pden_4253,0,0,0,0,0,0
Pden_4256,0,0,0,0,0,0
Pden_4260,0,0,0,0,0,0
Pden_4261,0,0,0,0,0,0
Pden_4294,0,0,0,0,0,0
Pden_4306,0,0,0,0,0,0
Pden_4312,0,0,0,0,0,0
Pden_4327,0,0,0,0,0,0
Pden_4328,0,0,0,0,0,0
Pden_4341,0,0,0,0,0,0
Pden_4351,0,0,0,0,0,0
Pden_4380,0,0,0,0,0,0
Pden_4389,0,0,0,0,0,0
Pden_4398,0,0,0,0,0,0
Pden_4399,0,0,0,0,0,0
Pden_4400,0,0,0,0,0,0
Pden_4424,0,0,0,0,0,0
glgC,0,0,0,0,0,0
glgB,0,0,0,0,0,0
Pden_4435,0,0,0,0,0,0
Pden_4448,0,0,0,0,0,0
Pden_4454,0,0,0,0,0,0
Pden_4456,0,0,0,0,0,0
Pden_4457,0,0,0,0,0,0
nnrD,0,0,0,0,0,0
Pden_4472,0,0,0,0,0,0
Pden_4519,0,0,0,0,0,0
Pden_4547,0,0,0,0,0,0
Pden_4574,0,0,0,0,0,0
Pden_4575,0,0,0,0,0,0
Pden_4604,0,0,0,0,0,0
